seq,xcol, ycol
872,606.6073, 491.00412
873,855.19147, 4244.468
874,0.0, 507.52646
875,3464.9575, 5897.389
876,1225.4049, 468.97067
877,2184.366, 4339.7417
878,1165.5109, 464.83896
879,0.0, 879.86536
880,5168.4683, 2054.7327
881,2316.7874, 1647.8068
882,1282.48, 2624.6694
883,4866.794, 5998.8364
884,0.0, 2328.0134
885,485.49615, 1775.6
886,3631.4639, 5301.926
887,1397.6631, 908.6389
888,1998.9573, 481.365
889,0.0, 4382.32
890,986.6649, 3839.4246
891,2631.693, 4195.3228
892,3052.704, 5080.446
893,1130.0741, 623.11127
894,1117.8002, 4550.564
895,1734.4481, 1416.5883
896,2682.8074, 5242.504
897,3819.9553, 5180.2695
898,1112.344, 2421.9524
899,1125.9833, 785.23126
900,1942.8685, 5780.1997
901,2035.3134, 5063.5483
902,264.98746, 398.71283
903,2217.394, 4001.0251
904,2854.806, 4640.51
905,617.6103, 6171.804
906,1180.4935, 4852.078
907,6056.2515, 2345.4346
908,1397.6631, 552.95026
909,870.2711, 1329.9641
910,4394.249, 7114.148
911,525.4229, 945.6125
912,2864.6294, 5455.0327
913,1248.5186, 419.3809
914,0.0, 1812.6674
915,2403.5374, 6154.0957
916,868.9004, 851.0782
917,2641.0383, 3722.821
918,1492.1433, 5152.1465
919,3132.0762, 5150.249
920,0.0, 382.1761
921,2902.5068, 5922.3877
922,0.0, 5185.3906
923,1654.4875, 5677.988
924,0.0, 1309.6228
925,2776.1392, 3845.2532
926,3405.4727, 6845.5337
927,3417.8936, 5744.606
928,0.0, 594.2275
929,889.45807, 457.95245
930,2383.8252, 3838.8398
931,1191.3864, 6183.627
932,310.4948, 946.98145
933,4061.98, 5828.114
934,901.7893, 1848.3141
935,518.54004, 6041.376
936,0.0, 957.9316
937,2382.591, 3221.514
938,1658.4948, 3803.1494
939,1821.9183, 4964.245
940,1929.7822, 5379.029
941,2241.4338, 6050.053
942,2955.7024, 2713.8218
943,0.0, 561.20703
944,3236.3228, 5571.5024
945,2725.239, 4432.24
946,2641.0383, 1158.6986
947,1262.1074, 899.04926
948,1436.8495, 3610.1802
949,614.8597, 1734.4481
950,1087.7821, 695.96765
951,0.0, 1885.1753
952,1321.8292, 1938.9442
953,936.0291, 5345.396
954,3716.2942, 4353.3174
955,1007.1789, 455.19772
956,581.84607, 708.3333
957,1181.8553, 3320.8855
958,4600.9585, 6017.635
959,3471.3298, 5537.6406
960,1336.7413, 4374.6904
961,997.60675, 4118.2163
962,1645.1337, 5158.3286
963,3246.4336, 4987.901
964,0.0, 568.08716
965,2447.6248, 3835.3247
966,2504.606, 4321.158
967,1961.163, 733.05896
968,0.0, 874.3831
969,2566.8435, 4836.1924
970,1923.2333, 660.2344
971,2768.2734, 6466.7827
972,0.0, 1427.3962
973,0.0, 1123.2557
974,0.0, 5071.0986
975,1572.8124, 5073.952
976,949.7192, 380.79794
977,376.66342, 584.59766
978,1252.5958, 6125.155
979,3768.1016, 7084.2397
980,3663.393, 5611.5967
981,0.0, 515.78674
982,0.0, 481.365
983,1630.4247, 5132.1562
984,1493.4902, 1788.8497
985,1325.897, 711.081
986,3949.019, 5073.8335
987,793.46564, 3558.3235
988,0.0, 495.13495
989,0.0, 1403.0717
990,0.0, 938.7674
991,0.0, 1475.9733
992,5037.1094, 811.30334
993,0.0, 581.84607
994,3187.7527, 5351.448
995,800.32684, 1502.9167
996,2818.498, 6053.535
997,3174.4583, 6191.828
998,1247.1594, 1602.3105
999,910.0087, 572.215
1000,908.6389, 5243.5103
1001,2742.293, 4973.6978
1002,321.52493, 607.9828
1003,0.0, 378.0416
1004,936.0291, 420.75864
1005,5438.9595, 6938.9062
1006,184.97559, 5179.5635
1007,3078.8252, 3689.1392
1008,1594.27, 577.7186
1009,0.0, 2721.8176
1010,2701.2192, 5505.3667
1011,3917.6033, 4814.3633
1012,1370.6035, 646.4869
1013,1995.0541, 441.42322
